QUESTION,ANSWER1,ANSWER2,ANSWER3
"['use', 'array', 'instead', 'individual', 'variable']","['arrays', 'preferable', 'store', 'multiple', 'related', 'datum', 'need', 'array', 'variable', 'follow', 'element', 'number', 'access', 'datum', '.']","['collection', 'relate', 'datum', 'want', 'store', 'access', 'group', '.', 'example', 'store', 'sequence', 'similar', 'datum', 'pass', 'multiple', 'value', 'function', '.']","['array', 'need', 'use', 'variable', 'type', '.', 'define', 'sequence', 'object', 'data', 'type', '.', 'store', 'collection', 'datum', ',', 'useful', 'think', 'array', 'collection', 'variable', 'type', '.']"
"['c', 'language', 'programming']","['c', 'mid', 'level', 'procedural', 'programming', 'language', ',', 'procedural', 'programming', 'language', 'know', 'structured', 'programming', 'language', ',', 'technique', 'large', 'program', 'break', 'small', 'module', ',', 'module', 'use', 'structured', 'code', '.', 'technique', 'minimizes', 'error', 'misinterpretation', '.']","['c', 'powerful', 'general', '-', 'purpose', 'programming', 'language', '.', 'develop', 'software', 'like', 'operating', 'system', ',', 'database', ',', 'compiler', ',', '.', 'c', 'programming', 'excellent', 'language', 'learn', 'program', 'beginner', '.']","['c', 'programming', 'language', 'general', '-', 'purpose', 'programming', 'language', 'develop', 'early', '1970', '.', 'create', 'dennis', 'ritchie', 'bell', 'labs', 'system', 'program', 'widely', 'develop', 'wide', 'range', 'application', ',', 'include', 'operating', 'system', ',', 'embed', 'system', ',', 'high', '-', 'performance', 'application', '.', 'c', 'know', 'efficiency', ',', 'low', '-', 'level', 'programming', 'capability', ',', 'close', 'relationship', 'underlie', 'hardware', '.', 'provide', 'structured', 'procedural', 'approach', 'programming', ',', 'allow', 'developer', 'write', 'efficient', 'portable', 'code', '.']"
"['use', 'static', 'variable', 'c']","['variable', 'declare', 'static', 'know', 'static', 'variable', '.', 'static', 'variable', 'retain', 'value', 'multiple', 'function', 'call', 'common', 'value', 'share', 'method', '.']","['static', 'variable', 'possess', 'property', 'preserve', 'actual', 'value', 'scope', '.', ',', 'static', 'variable', 'able', 'preserve', 'previous', 'value', 'accord', 'previous', 'scope', ',', 'need', 'initialize', 'case', 'new', 'scope', '.']","['static', 'variable', 'variable', 'retain', 'value', 'function', 'call', '.', 'declare', 'static', 'keyword', 'special', 'storage', 'class', 'allow', 'preserve', 'value', 'multiple', 'invocation', 'function', 'define', '.']"
"['c', 'call', 'mid', 'level', 'programming', 'language']","['c', 'call', 'mid', '-', 'level', 'programming', 'language', 'bind', 'low', 'level', 'high', '-level', 'programming', 'language', '.', 'use', 'c', 'language', 'system', 'programming', 'develop', 'operating', 'system', 'application', 'programming', 'generate', 'menu', 'drive', 'customer', 'drive', 'billing', 'system', '.']","['c', 'consider', 'middle', '-', 'level', 'language', 'support', 'feature', 'low', '-', 'level', 'high', '-', 'level', 'language', '.', 'c', 'language', 'program', 'convert', 'assembly', 'code', ',', 'support', 'pointer', 'arithmetic', '(', 'low', '-', 'level', ')', ',', 'machine', 'independent', '(', 'feature', 'high', '-', 'level', ')', '.']","['c', 'refer', '""', 'mid', '-', 'level', '""', 'programming', 'language', 'provide', 'level', 'abstraction', 'high', 'low', '-', 'level', 'language', 'like', 'assembly', 'language', 'low', 'high', '-', 'level', 'language', 'like', 'python', 'java', '.', 'term', '""', 'mid', '-', 'level', '""', 'describe', 'c', 'strike', 'balance', 'low', '-', 'level', 'high', '-', 'level', 'feature', ',', 'combine', 'efficiency', ',', 'control', ',', 'portability', 'high', 'level', 'abstraction', 'compare', 'pure', 'low', '-', 'level', 'language', '.']"
"['use', 'function', 'c']","['function', 'avoid', 'rewrite', 'code', 'program', 'call', 'number', 'time', 'place', 'program', '.', 'program', 'divide', 'function', ',', 'program', 'easily', 'track', '.']","['function', 'c', 'basic', 'building', 'block', 'c', 'program', '.', 'function', 'set', 'statement', 'enclose', 'curly', 'bracket', '(', '{', '}', ')', 'input', ',', 'computation', ',', 'provide', 'resultant', 'output', '.', 'function', 'multiple', 'time', ',', 'allow', 'reusability', 'modularity', 'c', 'programming', '.']","['function', 'c', 'break', 'program', 'small', ',', 'manageable', ',', 'reusable', 'unit', 'code', '.', 'serve', 'purpose', ':', 'modularity', ',', 'code', 'reusability', ',', 'abstraction', ',', 'code', 'organization', ',', 'modular', 'development', ',', 'debug', 'testing', ',', 'code', 'readability', ',', 'code', 'maintenance']"
"['difference', 'value', 'reference', 'c']","['value', 'refere', 'copy', 'value', 'pass', 'function', ',', 'original', 'value', 'modify', '.', 'hand', 'reference', 'refer', 'copy', 'value', 'pass', 'function', ',', 'original', 'value', 'modify', '.']","['value', 'pass', 'copy', 'value', 'function', ',', 'reference', 'pass', 'memory', 'address', 'value', '.', 'value', 'safe', 'modify', 'original', 'value', ',', 'reference', 'allow', 'modification', 'original', 'value', '.']","['value', 'copy', 'value', 'pass', 'function', ',', 'change', 'inside', 'function', 'limited', 'function', '.', 'value', 'actual', 'parameter', 'change', 'change', 'formal', 'parameter', '.', 'hand', ',', 'reference', ',', 'address', 'value', 'pass', 'function', '.', 'change', 'inside', 'function', 'validate', 'outside', 'function', '.', 'value', 'actual', 'parameter', 'change', 'change', 'formal', 'parameter', '.']"
"['recursion', 'c']","['function', 'call', ',', 'process', 'know', 'recursion', '.', 'recursive', 'function', 'come', 'phase', ':', 'wind', 'phase', 'unwind', 'phase', '.', 'winding', 'phase', 'recursive', 'function', 'call', ',', 'phase', 'end', 'condition', 'reach', '.', 'unwind', 'phase', 'start', 'condition', 'reach', ',', 'control', 'return', 'original', '.']","['function', 'happen', '(', 'directly', 'indirectly', ')', ',', 'program', 'satisfie', 'specific', 'condition', '/', 'subtask', 'call', 'recursive', 'function', '.']","['recursion', 'c', 'programming', 'technique', 'function', 'call', 'solve', 'problem', 'break', 'small', ',', 'similar', 'subproblem', '.', 'word', ',', 'recursive', 'function', 'function', 'call', 'execution', '.']"
"['usage', 'pointer', 'c']","['point', 'access', 'array', 'element', ',', 'dynamically', 'allocate', 'memory', ',', 'reference', ',', 'datum', 'structure', 'like', 'tree', ',', 'graph', ',', 'link', 'list', ',', 'etc', '.']","['usage', 'pointer', 'c', ':', 'pass', 'argument', 'reference', ',', 'access', 'element', 'array', ',', 'dynamic', 'memory', 'allocation', 'malloc', '(', ')', 'calloc', '(', ')', 'function', ',', 'array', 'function', 'improve', 'performance', 'code', ',', 'return', 'multiple', 'value', ',', 'implement', 'data', 'structure', '.']","['dynamic', 'memory', 'allocation', ',', 'pass', 'parameter', 'reference', ',', 'efficiently', 'work', 'array', ',', 'build', 'complex', 'datum', 'structure', ',', 'access', 'hardware', 'low', '-', 'level', 'programming']"
"['null', 'pointer', 'c']","['pointer', 'refer', 'address', 'value', 'null', 'know', 'null', 'pointer', '.']","['c', ',', 'null', 'pointer', 'variable', 'valid', 'address', 'allocate', 'zero', 'null', '.']","['null', 'pointer', 'pointer', 'point', 'memory', 'location', '.', 'special', 'value', 'indicate', 'absence', 'valid', 'memory', 'address', '.', 'null', 'pointer', 'typically', 'represent', 'constant', 'value', 'null', ',', 'define', '<', 'stddef.h', '>', 'header', 'file', '.']"
"['static', 'memory', 'allocation']","['memory', 'allocate', 'compile', 'time', ',', 'memory', 'increase', 'execute', 'program', '.', 'array', '.']","['static', 'memory', 'allocate', 'declare', 'variable', 'compiler', '.', 'address', 'find', 'address', 'operator', 'assign', 'pointer', '.', 'memory', 'allocate', 'compile', 'time', '.']","['static', 'memory', 'allocation', 'c', 'refer', 'allocation', 'memory', 'variable', 'compile', '-', 'time', 'program', 'start', 'execute', '.', 'type', 'memory', 'allocation', ',', 'memory', 'variable', 'fix', 'determined', 'program', 'compilation', 'phase.this', 'mean', 'memory', 'allocate', 'remain', 'allocate', 'program', 'terminate', '.']"
"['dynamic', 'memory', 'allocation']","['memory', 'allocate', 'runtime', 'memory', 'increase', 'execute', 'program', '.', 'link', 'list', '.']","['memory', 'allocation', 'time', 'execution(run', 'time', ')', 'know', 'dynamic', 'memory', 'allocation', '.', 'function', 'calloc', '(', ')', 'malloc', '(', ')', 'support', 'allocate', 'dynamic', 'memory', '.', 'dynamic', 'allocation', 'memory', 'space', 'allocate', 'function', 'value', 'return', 'function', 'assign', 'pointer', 'variable', '.']","['dynamic', 'memory', 'allocation', 'c', 'refer', 'allocation', 'memory', 'program', 'execution', 'runtime', '.', 'unlike', 'static', 'memory', 'allocation', ',', 'memory', 'fix', 'determined', 'compile', '-', 'time', ',', 'dynamic', 'memory', 'allocation', 'allow', 'allocate', 'memory', 'need', 'manage', 'dynamically', '.']"
"['function', 'dynamic', 'memory', 'allocation', 'c']","['malloc', '(', ')', 'allocate', 'memory', 'execution', 'program', ',', 'initialize', 'memory', 'carry', 'garbage', 'value', 'return', 'null', 'pointer', 'able', 'allocate', 'request', 'space', '.', 'calloc', '(', ')', 'malloc', '(', ')', 'function', ',', 'difference', 'initialize', 'memory', 'zero', 'value', '.', 'realloc', '(', ')', 'reallocate', 'memory', 'new', 'size', ',', 'sufficient', 'space', 'available', 'memory', ',', 'new', 'block', 'allocate', 'accommodate', 'exist', 'datum', '.', 'free', '(', ')', 'function', 'release', 'memory', 'allocate', 'calloc', '(', ')', 'malloc', '(', ')', 'function', '.']","['allocate', 'memory', 'dynamically', ',', 'library', 'function', 'malloc', '(', ')', ',', 'calloc', '(', ')', ',', 'realloc', '(', ')', 'free', '(', ')', '.']","['dynamic', 'memory', 'allocation', 'perform', 'follow', 'function', '<', 'stdlib.h', '>', 'header', ':', 'malloc', '(', ')', ',', 'calloc', '(', ')', ',', 'realloc', '(', ')', ',', 'free', '(', ')']"
